,pm25_mean,pm25_max,pm25_median,pm10_mean,pm10_max,temp_mean,temp_min,temp_max,humidity_mean,humidity_max,signal_mean,signal_min,n_total,n_pm_valid,n_hours_total,n_hours_good,n_hours_humid,n_hours_low_cov,n_hours_no_data,coverage_pct,pm_valid_pct,hours_good_pct,pm_ratio,is_reliable
2024-01-01,19.61327731092437,36.28,19.055,35.06761904761905,82.7,9.597700956937798,8.7,11.7,99.9,99.9,-42.621319444444445,-44.0,588.0,357.0,24.0,14.0,10.0,0.0,0.0,100.0,60.7,58.3,0.559,False
2024-01-02,16.463397683397684,34.97,14.65,28.950231660231662,54.6,7.803827370869295,6.6,9.2,99.9,99.9,-42.75651954325868,-44.0,560.0,259.0,24.0,10.0,14.0,0.0,0.0,100.0,46.2,41.7,0.569,False
2024-01-03,,,,,,8.559097853535354,6.7,11.5,99.90000000000002,99.9,-42.75595328282828,-48.0,581.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-04,,,,,,9.416826992753622,5.5,14.4,99.8962777777778,99.9,-42.85142814009663,-46.0,584.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-05,,,,,,8.925731582125605,6.9,11.0,99.90000000000002,99.9,-43.36201086956521,-47.0,577.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-06,,,,,,8.262833333333333,7.6,8.6,99.90000000000002,99.9,-45.13912698412698,-55.0,576.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-07,,,,,,8.339426932367148,7.7,8.8,99.90000000000002,99.9,-45.18583937198068,-54.0,587.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-08,,,,,,9.015928571428573,8.2,10.8,99.9,99.9,-42.08833333333333,-44.0,316.0,0.0,14.0,0.0,13.0,0.0,10.0,58.4,0.0,0.0,,False
2024-01-09,12.595060240963857,19.9,11.629999999999999,22.076987951807226,31.42,5.2,4.4,5.4,99.90000000000002,99.9,-41.42041666666667,-43.0,89.0,83.0,4.0,4.0,0.0,0.0,20.0,16.5,93.3,16.7,0.571,False
2024-01-10,10.65,10.65,10.65,18.52,18.52,5.612725845410629,4.6,6.7,99.90000000000002,99.9,-41.25347222222222,-44.0,583.0,1.0,24.0,0.0,24.0,0.0,0.0,100.0,0.2,0.0,0.575,False
2024-01-11,,,,,,5.613062500000001,3.9,8.0,99.28574305555556,99.9,-41.68295138888889,-53.0,573.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-12,,,,,,5.17892361111111,3.1,8.6,99.90000000000002,99.9,-37.37430555555556,-42.0,587.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-13,,,,,,4.890145833333333,2.9,8.4,99.90000000000002,99.9,-40.07368055555556,-49.0,587.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-14,,,,,,3.1944667874396138,0.1,5.6,99.90000000000002,99.9,-44.10170289855072,-46.0,586.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-15,,,,,,5.403740036231884,3.3,9.0,99.90000000000002,99.9,-44.978312198067634,-48.0,587.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-16,,,,,,5.392236111111111,2.6,8.2,99.90000000000002,99.9,-44.274722222222216,-47.0,584.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-17,,,,,,6.287347222222222,5.7,7.2,99.90000000000002,99.9,-43.9601388888889,-46.0,587.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-18,,,,,,6.88086111111111,4.9,10.6,99.90000000000002,99.9,-44.00472222222222,-46.0,585.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-19,,,,,,6.463564915458936,4.6,9.2,99.90000000000002,99.9,-43.92474033816425,-47.0,585.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-20,,,,,,4.514576388888889,2.6,8.2,97.59625,99.9,-45.11284722222223,-61.0,585.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-21,,,,,,3.8974550120772946,1.2,8.1,95.91793780193238,99.9,-45.30758152173913,-60.0,587.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-22,,,,,,4.615801328502415,1.4,8.6,94.32857125603864,99.9,-45.29592995169082,-58.0,586.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-23,,,,,,6.730282004830919,4.4,11.1,99.74682880434784,99.9,-45.977113526570044,-61.0,583.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-24,,,,,,6.384032004830917,3.7,10.1,99.90000000000002,99.9,-47.29633756038647,-59.0,587.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-25,49.76777777777778,51.83,49.58,106.08444444444444,112.4,6.136222222222223,3.6,10.5,99.90000000000002,99.9,-45.766041666666666,-54.0,587.0,9.0,24.0,0.0,24.0,0.0,0.0,100.0,1.5,0.0,0.469,False
2024-01-26,,,,,,6.573590277777778,3.8,9.3,99.90000000000002,99.9,-52.16993055555556,-65.0,585.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-27,,,,,,6.4788749999999995,3.3,11.3,99.90000000000002,99.9,-51.84173611111111,-62.0,583.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-28,,,,,,5.4937754629629625,4.4,7.1,99.90000000000002,99.9,-38.554537037037036,-57.0,581.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-29,,,,,,4.3821666666666665,2.8,7.4,99.90000000000002,99.9,-42.416111111111114,-55.0,587.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-30,,,,,,4.069944444444444,0.5,9.4,99.90000000000002,99.9,-44.18340277777778,-49.0,587.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-01-31,,,,,,6.557618055555555,3.6,11.8,99.43244444444446,99.9,-44.68159722222222,-56.0,589.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-02-01,,,,,,7.091952294685991,3.9,11.1,99.86510416666668,99.9,-46.38642008856683,-52.0,556.0,0.0,24.0,0.0,23.0,0.0,0.0,100.0,0.0,0.0,,False
2024-02-02,,,,,,7.408647041062802,3.4,13.8,99.90000000000002,99.9,-46.67904095300835,-50.0,574.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-02-03,,,,,,8.96376388888889,5.3,15.9,99.2263125,99.9,-46.76326388888888,-51.0,588.0,0.0,24.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,,False
2024-02-04,47.778432203389826,61.63,49.1125,80.9012711864407,109.47,8.951307936507938,5.6,15.5,99.9,99.9,-47.01215277777777,-51.0,581.0,236.0,24.0,10.0,14.0,0.0,0.0,100.0,40.6,41.7,0.591,False
2024-02-05,39.862406143344714,70.38,36.065,70.29102389078497,118.78,,,,,,-47.01930555555555,-51.0,586.0,586.0,24.0,24.0,0.0,0.0,0.0,100.0,100.0,100.0,0.567,True
2024-02-06,34.94365351629503,55.7,33.4825,64.76468267581475,104.18,,,,,,-47.17652777777778,-51.0,583.0,583.0,24.0,24.0,0.0,0.0,0.0,100.0,100.0,100.0,0.54,True
2024-02-07,23.83323741007194,39.8,23.445,44.228579136690655,74.13,,,,,,-47.64182870370371,-52.0,556.0,556.0,24.0,23.0,0.0,1.0,0.0,100.0,100.0,95.8,0.539,True
2024-02-08,14.645450980392157,34.97,12.81,27.481372549019607,67.65,,,,,,-47.79636585530128,-53.0,510.0,510.0,24.0,22.0,0.0,2.0,0.0,94.3,100.0,91.7,0.533,True
2024-02-09,4.841601489757914,28.83,3.745,13.24219739292365,50.67,,,,,,-48.00287741545893,-51.0,537.0,537.0,24.0,22.0,0.0,2.0,0.0,99.3,100.0,91.7,0.366,True
2024-02-10,10.846429840142095,32.65,10.35,29.009058614564836,70.63,,,,,,-48.0937922705314,-52.0,563.0,563.0,24.0,24.0,0.0,0.0,0.0,100.0,100.0,100.0,0.374,True
2024-02-11,16.0722491349481,28.3,14.4975,38.29525951557094,97.53,,,,,,-46.797083333333326,-50.0,578.0,578.0,24.0,24.0,0.0,0.0,0.0,100.0,100.0,100.0,0.42,True
2024-02-12,6.89415652173913,16.1,5.789999999999999,13.539269565217392,42.67,,,,,,-46.589930555555554,-52.0,575.0,575.0,24.0,24.0,0.0,0.0,0.0,100.0,100.0,100.0,0.509,True
2024-02-13,18.414790209790212,30.35,20.3,35.573234265734264,79.18,,,,,,-46.2776798881261,-52.0,572.0,572.0,24.0,24.0,0.0,0.0,0.0,100.0,100.0,100.0,0.518,True
2024-02-14,14.207478559176671,26.17,13.01,28.688730703259004,78.28,,,,,,-46.1577747584541,-49.0,583.0,583.0,24.0,24.0,0.0,0.0,0.0,100.0,100.0,100.0,0.495,True
