,pm25_mean,pm25_max,pm25_median,pm10_mean,pm10_max,temp_mean,temp_min,temp_max,humidity_mean,signal_mean,signal_min,n_total,n_pm_valid,n_days_total,n_days_reliable,days_above_who_daily,days_above_eu_current,days_above_eu_2030,coverage_pct,pm_ratio,is_reliable,who_class
2024-01-31,,51.83,14.65,,112.4,6.318476981791638,0.1,14.4,99.47755010129347,-43.94880201260417,-65.0,17329.0,709.0,31.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2024-02-29,22.306924822265923,104.15,17.3125,42.51597791559523,197.25,9.444076243018491,3.4,15.9,99.78190277777777,-46.64827975638067,-53.0,16696.0,14105.0,29.0,23.0,13.0,7.0,16.0,79.3,0.525,True,eu_current
2024-03-31,10.029252013808973,693.7,9.942499999999999,18.562407940161105,1032.82,13.149648408528298,7.4,24.6,98.26707109210948,-46.606341602217846,-53.0,17911.0,5701.0,31.0,6.0,1.0,0.0,2.0,19.4,0.54,False,who_daily
2024-04-30,,16.0,2.17375,,63.15,16.162390144603886,7.0,37.4,94.431610414823,-46.542388595873305,-52.0,17321.0,993.0,30.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2024-05-31,4.320669377541445,30.13,2.55,9.53410071942446,146.68,19.49086517952609,12.1,34.6,97.62527189215527,-48.05242530234645,-53.0,18065.0,8226.0,31.0,11.0,0.0,0.0,1.0,35.5,0.453,False,who_2021
2024-06-30,,18.33,2.20875,,49.17,24.566679103556186,14.7,42.8,93.69938813292899,-49.46319410199301,-57.0,17370.0,801.0,30.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2024-07-31,,14.55,2.98125,,141.43,28.779720941064745,19.6,44.8,88.83239054728897,-49.94430223298879,-55.0,16182.0,1916.0,31.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2024-08-31,,10.35,6.9625,,41.35,29.92727875415647,24.8,44.2,93.13797372717863,-49.50193022760068,-57.0,1630.0,78.0,31.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2024-09-30,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2024-10-31,,,,,,,,,,,,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2024-11-30,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2024-12-31,,,,,,,,,,,,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2025-01-31,,,,,,,,,,,,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2025-02-28,,,,,,,,,,,,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2025-03-31,,,,,,,,,,,,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2025-04-30,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2025-05-31,,,,,,,,,,,,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2025-06-30,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2025-07-31,,,,,,,,,,,,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2025-08-31,,,,,,,,,,,,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2025-09-30,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2025-10-31,,,,,,,,,,,,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2025-11-30,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2025-12-31,,,,,,,,,,,,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,,False,no_data
2026-01-31,19.09044208664898,56.72,18.655,36.502935455349245,284.27,,,,,-71.62276190666391,-80.0,3542.0,3542.0,31.0,6.0,4.0,2.0,5.0,19.4,0.523,False,eu_current
2026-02-28,17.544326341718296,81.47,15.1875,30.724159886541763,200.23,,,,,-71.791091773349,-83.0,14264.0,14264.0,28.0,25.0,13.0,6.0,16.0,89.3,0.571,True,eu_current
